ID,ID
Name,Name
"Url Key","Url Key"
Status,Status
Layout,Layout
"In RSS","In RSS"
"Allow Comments","Allow Comments"
Published,Published
"Already Translated In","Already Translated In"
"Post Name","Post Name"
"Short Description","Short Description"
"Post Content","Post Content"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"The collection has more than two entities per urlKey.","The collection has more than two entities per urlKey."
"Mageplaza Blog Posts","Mageplaza Blog Posts"
Attributes,Attributes
"Select the posts attributes, which should be translated","Select the posts attributes, which should be translated"
